nei'rong,6636 内容,6636;
kuang'quan'bing,6 狂犬病,6;
ni'shui'xing'zhou,24 逆水行舟,24;
luo'nan'xian,7 洛南县,7;
yi'shen'shi'fa,20 以身试法,20;
liu'yin,5 柳荫,5;
man'bao,109 瞒报,109;
qi'dian,1346 起点,1341;气垫,5;
pu'mie,72 扑灭,72;
pin'deke,6 品德课,6;
hong'zhuan,28 红砖,28;
jie'bo,6 劫波,6;
ke'yunliang,45 客运量,45;
fen'men'bie'lei,35 分门别类,35;
ruo'xiang,29 弱项,29;
wa'tala,90 瓦塔拉,90;
gao'qiang,51 高强,20;高墙,31;
zhang'yuxi,9 张玉玺,9;
xiang'xiang'li,186 想象力,186;
jin'lin,167 紧邻,68;近邻,99;
guo'jin'long,28 郭金龙,28;
fu'sheyuan,7 辐射源,7;
pai'fangliang,176 排放量,176;
zhu'xing,15 助兴,15;
bu'chong,912 补充,912;
sheng'zhi,818 生殖,57;圣旨,9;升值,478;省直,274;
gu'fen'gong'si,75 股份公司,75;
huang'zhenjiang,6 黄振江,6;
feng'yan,22 烽烟,22;
luo'dan,9 罗丹,9;
du'huanzheng,10 杜欢政,10;
ma'xige'ri'le,12 玛希格日勒,12;
pei'xian,13 沛县,13;
hong'mian,5 红棉,5;
she'lu,13 摄录,13;
hong'miao,18 红庙,18;
zan'cheng,330 赞成,330;
hou'lai'zhe,61 后来者,61;
si'ma'guang,5 司马光,5;
nu'jiang'li'su'zu'zi'zhi'zhou,9 怒江傈僳族自治州,9;
qian'zhuang,14 钱庄,14;
bang'fei,8 绑匪,8;
da'bu'liao,16 大不了,16;
jiu'bing,8 旧病,8;
mei'zi,22 妹子,22;
hemou,5 何某,5;
da'xue'sheng,2699 大学生,2699;
ai'chou,6 哀愁,6;
li'kejian,5 李克健,5;
mei'yu,233 梅屿,6;梅雨,8;美育,50;美誉,161;眉宇,8;
yijia'hao,22 易家昊,22;
chen'shousong,12 陈寿送,12;
nongkou,9 农口,9;
jiang'shou,93 讲授,93;
fen'bi,30 粉笔,30;
ren'lei,3264 人类,3258;任蕾,6;
suli,7 酥梨,7;
qiao'muyuan,6 乔木园,6;
huo'jian'tong,11 火箭筒,11;
tou'du'zhe,5 偷渡者,5;
dang'qiu'qian,8 荡秋千,8;
niu'ma,13 牛马,13;
sheng'zhu,431 生猪,431;
mei'yi,5 美意,5;
yuan'dan,169 元旦,169;
ding'shi'sun,7 丁石孙,7;
can'yu'zhe,281 参与者,281;
ding'hao,6 丁浩,6;
yuan'dao,52 远道,52;
jun'ren,1504 军人,1504;
da'tong'shi,40 大同市,40;
wu'ai'ying,13 吴爱英,13;
chuzhaohua,39 储昭华,39;
she'ke,131 社科,131;
juan'lian,64 眷恋,64;
bei'yuan,6 北苑,6;
yi'sui,20 易碎,20;
zong'hou'qin'bu,53 总后勤部,53;
xue'shan,176 雪山,176;
jing'shen'xing,18 精神性,18;
ju'zhu'qu,103 居住区,103;
bi'sa'bing,7 比萨饼,7;
muwuding,10 母戊鼎,10;
yuan'dai,32 元代,32;
xuan'chuanyue,6 宣传月,6;
fen'bu,969 分步,87;分布,838;分部,44;
zuo'you'wei'nan,14 左右为难,14;
ze'ling,563 责令,563;
zi'jin'shan,13 紫金山,13;
zhi'de'yi'ti,12 值得一提,12;
zhan'shu,301 战术,301;
cai'shen,20 财神,20;
fen'di,7 坟地,7;
tou'pai,19 投拍,11;偷拍,8;
jiao'yu'xuebu,19 教育学部,19;
she'li,3062 舍利,12;设立,3050;
xiayingqiu,8 夏迎秋,8;
zou'san,9 走散,9;
yang'binsheng,13 杨斌圣,13;
wangjingming,14 王竟明,14;
fen'de,45 分得,45;
ba'sibi,6 巴斯比,6;
dongshumeng,50 董淑猛,50;
bancheng,41 扮成,14;半程,27;
zhusu,6 注塑,6;
wu'gao,11 诬告,11;
lai'han,8 来函,8;
zhan'shi,3751 战时,154;战士,1149;展示,2308;展室,27;战事,113;
qi'shi'er,65 七十二,65;
fu'lao'xie'you,9 扶老携幼,9;
jinjinping,14 金锦萍,14;
qing'zhong,54 轻重,54;
shu'zhuo,52 书桌,52;
nongchao,97 农超,97;
li'tie'ying,10 李铁映,10;
shen'jia'ying,5 沈家营,5;
ze'zhou,5 泽州,5;
guang'guang,21 逛逛,21;
chao'san'mu'si,5 朝三暮四,5;
hong'ming,86 轰鸣,86;
zhuhu,33 逐户,33;
tou'jixing,53 投机性,53;
gong'xianzhe,21 贡献者,21;
gao'mao,6 高帽,6;
ba'qian,11 八千,11;
zhengfengsu,7 正风肃,7;
lv'you'ye,752 旅游业,752;
bo'zhong,256 播种,251;伯仲,5;
zhi'shuang,11 直爽,11;
yi'shi,7132 医师,339;伊始,155;衣食,70;意识,4649;议事,349;仪式,1092;轶事,17;移师,25;一时,383;义士,5;遗失,48;
feng'xue,82 风雪,82;
hei'che,89 黑车,89;
xin'gan'xian,44 新干线,44;
fen'er,56 份儿,56;
ming'bian'shi'fei,27 明辨是非,27;
changxiu'wei,12 常修为,12;
zhao'shang'men,41 找上门,41;
yangdao'xi,6 杨道喜,6;
tangyan,10 塘堰,10;
she'ji,8107 射击,125;设计,4665;社稷,18;涉及,3299;
ci'qi'bi'fu,134 此起彼伏,134;
xie'chuanyu,6 谢川豫,6;
dong'gang'qu,8 东港区,8;
fen'fa,171 奋发,73;分发,98;
ping'feng,20 屏风,20;
jian'shen'fang,68 健身房,68;
shi'gan'jia,20 实干家,20;
cheng'fengu,5 成份股,5;
she'fu,7 设伏,7;
ou'yangchang'qing,11 欧阳长青,11;
xi'rao,13 袭扰,13;
zu'zhi'xing,19 组织性,19;
li'gong'xue'yuan,51 理工学院,51;
sheng'zan,28 盛赞,28;
fen'fu,125 吩咐,14;分赴,111;
feng'ping,9 冯平,9;
zhen'bao,31 珍宝,31;
gezhijian,10 葛志健,10;
mi'su'li,13 密苏里,13;
quanding'li,17 权鼎立,17;
zhe'ban,53 这般,53;
piao'chang,15 嫖娼,15;
anxian,95 岸线,95;
pu'lin'si'dun,20 普林斯顿,20;
jing'hua'chang,5 净化厂,5;
hao'renzhu'yi,9 好人主义,9;
yi'shu,7190 医术,94;遗属,168;遗书,38;一数,108;艺术,6782;
xiaxinghuai,7 夏兴怀,7;
shou'qiang,35 手枪,35;
tancheng,89 坦承,89;
zeng'liang,262 增量,247;锃亮,15;
xi'shui'chang'liu,11 细水长流,11;
fen'ge,245 分隔,34;分割,211;
kangzhongfang,11 康忠芳,11;
a'er'wa'lei'si,5 阿尔瓦雷斯,5;
hui'yan,101 慧眼,26;汇演,42;会演,10;讳言,23;
mei'qi'zao,9 煤气灶,9;
ce'shi'yi,11 测试仪,11;
chang'dao,1152 长岛,6;肠道,16;倡导,1130;
ni'ya'qi,22 尼亚齐,22;
qian'chang'gua'du,10 牵肠挂肚,10;
dan'dong'shi,5 丹东市,5;
ba'sifu,19 巴斯夫,19;
chen'tie'jun,19 陈铁军,19;
xiao'suan'yan,5 硝酸盐,5;
dianhuajia,8 碘化钾,8;
zhuang'jianwei,8 庄建伟,8;
ying'zi'sa'shuang,7 英姿飒爽,7;
jin'guang,23 金光,23;
hui'zong,177 汇总,177;
a'le'tai,24 阿勒泰,24;
bing'yi'zu,7 兵一卒,7;
jiu'wangyun'dong,14 救亡运动,14;
xing'tou,6 行头,6;
fen'he,5 汾河,5;
jiao'sheng,23 叫声,23;
mo'diao,8 抹掉,8;
yi'tian'dao'wan,26 一天到晚,26;
qin'wangchuan,24 秦王川,24;
fan'zuo'yong,20 反作用,20;
liu'dong'zi'jin,40 流动资金,40;
liu'jiafen,27 刘佳芬,27;
yu'kui'zhi,16 于魁智,16;
zhuli,138 助力,138;
zhang'de'guang,5 张德广,5;
xi'ju'xing,49 戏剧性,49;
cong'shan'ru'liu,13 从善如流,13;
gong'nong'hong'jun,79 工农红军,79;
bu'feng'zhuo'ying,11 捕风捉影,11;
fa'biao,2927 发表,2927;
fa'bian,5 发辫,5;
niu'du,17 牛犊,17;
wa'fang'dian,62 瓦房店,62;
ba'xun,69 八旬,69;
dian'nao,1213 电脑,1213;
mao'yi'qu,226 贸易区,226;
zhulu,27 筑路,27;
nei'lao,98 内涝,98;
lv'you'dian,14 旅游点,14;
yi'ge'jin,16 一个劲,16;
gong'kuan,129 公款,129;
puxiong,5 普雄,5;
wang'sheng'jun,79 王胜俊,79;
ren'shi'lun,31 认识论,31;
wei'min,800 为民,800;
xuchongde,6 许崇德,6;
xiao'chuan,80 哮喘,20;小船,60;
diao'gan,5 钓竿,5;
la'sijiedier,14 拉斯杰迪尔,14;
yun'yan,5 云烟,5;
fen'ji,362 分级,362;
cang'zhou'shi,26 沧州市,26;
laman,28 拉曼,28;
pi'yao,70 辟谣,70;
she'fa,72 设法,72;
mou'tuo,7 牟托,7;
bu'yuanchu,120 不远处,120;
baiba'shi,5 百八十,5;
liu'yue,41 六月,41;
qing'bian,9 轻便,9;
man'zhou'li,15 满洲里,15;
xi'ren,125 喜人,125;
jiao'xun,766 教训,766;
fen'ju,400 分局,353;分居,47;
zou'shi,316 走势,297;走失,19;
xun'jie,42 迅捷,31;训诫,11;
zi'youwang'guo,7 自由王国,7;
shen'shuigang,18 深水港,18;
shang'nao'jin,5 伤脑筋,5;
fen'ke,6 分科,6;
de'tian'du'hou,146 得天独厚,146;
xin'chun'ying,22 信春鹰,22;
qing'chang,34 清偿,34;
yanzhaoshi,13 燕兆时,13;
bian'lun,119 辩论,119;
jiao'xue,2608 教学,2608;
hu'qiang,11 胡强,11;
lie'shi'mu,94 烈士墓,94;
mian'dai'wei'xiao,22 面带微笑,22;
pu'chaju,13 普查局,13;
jiang'pan,17 江畔,17;
yan'wu'bu'jin,7 言无不尽,7;
fuzhou,9 符州,9;
zhuke,5 竹柯,5;
hun'wei'yi'tan,9 混为一谈,9;
gai'yong,39 改用,39;
la'basheng,6 喇叭声,6;
fen'li,1104 分立,128;分力,5;分离,611;奋力,360;
li'shi'xing,833 历史性,833;
wang'zi'fei'bo,22 妄自菲薄,22;
zheng'bowu,22 郑伯武,22;
she'de,155 舍得,155;
zhen'ben,6 珍本,6;
mu'xiao,76 母校,76;
jiang'pai,125 奖牌,125;
li'li'zai'mu,43 历历在目,43;
qiang'zhong,21 抢种,21;
xu'yun'feng,5 许云峰,5;
mo'ni'qi,10 模拟器,10;
huang'tu'di,30 黄土地,30;
fen'nu,102 愤怒,102;
ren'kou,7040 人口,7040;
guo'ji'ge,22 国际歌,22;
chang'cun,22 长存,22;
mei'mu,398 眉目,10;每亩,388;
chun'chao,41 春潮,41;
jiao'xin,36 交心,36;
lie'kai,13 裂开,13;
hu'chun'hua,11 胡春华,11;
gu'gong,497 雇工,57;故宫,440;
gao'jia'qiao,33 高架桥,33;
hui'zhuan,15 回转,15;
shen'yang,681 沈阳,681;
jie'qi,19 节气,19;
wang'chengxing,12 王承兴,12;
xue'you'bing,80 血友病,80;
shi'bu'wo'dai,53 时不我待,53;
jiao'yu'ju,255 教育局,255;
zhu'xiao,157 注销,132;住校,25;
zhu'xian,1027 主线,1027;
lin'rui'lin,8 林瑞麟,8;
niao'bu,26 尿布,26;
cai'goutuan,8 采购团,8;
fu'zheli,5 附着力,5;
zi'feng,11 自封,11;
tian'qi,1226 天气,1226;
zhu'zhou'shi,38 株洲市,38;
fen'mu,39 分母,9;坟墓,30;
zhou'ruiyang,7 周睿羊,7;
guo'yan'yan'yun,5 过眼烟云,5;
xiang'cheng,101 相称,101;
fen'xitong,25 分系统,25;
quanxiang,101 全乡,101;
he'jianqun,7 何建群,7;
gang'ju'mu'zhang,7 纲举目张,7;
fen'mo,11 粉末,11;
wen'ming'xia'er,21 闻名遐迩,21;
li'tou'zhi'bei,7 力透纸背,7;
yun'yun,14 云云,14;
zhi'yuan'zhe,1844 志愿者,1844;
fen'mi,24 分泌,24;
mei'nv,35 美女,35;
ni'xing,19 逆行,19;
hun'xiao,50 混淆,50;
zhan'gong,31 战功,31;
fen'wai,84 分外,84;
wen'yiyuan,30 文艺院,30;
ke'piao,27 客票,27;
xue'lian,19 学联,9;雪莲,10;
wanxiao,9 完小,9;
ban'gong'shi,1858 办公室,1858;
duo'tou,84 多头,84;
wu'li'xi,26 物理系,26;
tui'jin'qi,15 推进器,15;
diao'jiao'lou,18 吊脚楼,18;
ting'fang,126 停放,126;
yang'wo'qi'zuo,16 仰卧起坐,16;
qin'hong,22 秦虹,22;
han'zhong'shi,41 汉中市,41;
quan'zhou'xian,8 全州县,8;
you'lai'yi'jiu,85 由来已久,85;
fen'pi,131 分批,131;
xia'qun,5 夏群,5;
xiong'mei,33 兄妹,33;
zhang'yuke,7 张玉珂,7;
jiao'yu'lu,163 焦裕禄,163;
ju'zhu'di,99 居住地,99;
xi'lujun,24 西路军,24;
jie'ru,676 介入,508;接入,168;
mu'qiao,40 木桥,40;
zhang'ping,99 漳平,8;张萍,7;张平,84;
mu'qian,15263 目前,15263;
guo'ji'fa,125 国际法,125;
xiang'dang'nian,15 想当年,15;
cheng'pin'you,223 成品油,223;
kang'sheng,12 康生,12;
qingjun,16 清军,16;
wu'gui,6 乌龟,6;
jinan,28 金岸,28;
dao'shang,5 刀伤,5;
wu'guo,10 误国,10;
yi'ban'shuo'lai,14 一般说来,14;
fangsha,109 防沙,104;纺纱,5;
bei'jia,122 倍加,122;
jie'ri,764 节日,764;
mei'pu,5 没谱,5;
da'xun'huan,19 大循环,19;
nian'lao'duo'bing,6 年老多病,6;
jue'shi'yue,7 爵士乐,7;
rulin,10 如林,10;
bei'jie,19 背街,19;
zuo'xiang'qi'cheng,6 坐享其成,6;
gu'likelaimu,24 古丽克来姆,24;
wu'sha'mao,20 乌纱帽,20;
cu'fang'xing,91 粗放型,91;
jie'qu,225 截取,10;街区,215;
ren'tong'ge'ai,8 忍痛割爱,8;
jiao'xie,32 胶鞋,25;缴械,7;
mian'chang,29 绵长,29;
zhangzhan'ping,23 张战平,23;
shuo'fu'li,189 说服力,189;
zhan'hua'xian,23 沾化县,23;
yang'lao'bao'xian'jin,19 养老保险金,19;
jiao'xia,238 狡黠,5;脚下,233;
chen'xuebing,5 陈学兵,5;
mei'pi,7 眉批,7;
qianjing,13 虔敬,8;钱景,5;
jie'mi,53 揭秘,19;解密,34;
ban'shi'yuan,5 办事员,5;
qiu'yahuan,9 邱亚寰,9;
ma'jun'sheng,9 马军胜,9;
tai'gao,113 抬高,113;
jie'ma,7 解码,7;
yang'jia'zhuang,10 杨家庄,10;
jiyani,15 基亚尼,15;
bo'kuan,345 拨款,345;
wei'shi'guo'zao,9 为时过早,9;
zhou'guo'ping,8 周国平,8;
tian'li,107 田里,81;天理,26;
si'ling'bu,110 司令部,110;
liuyingqi,48 刘应启,48;
ji'nan,509 济南,390;暨南,22;急难,81;冀南,16;
yun'xi'xian,7 郧西县,7;
jie'lu,142 揭露,142;
tong'bing,46 通病,46;
tian'ma,61 天马,33;天麻,28;
jie'lv,9 节律,9;
wei'yu'chou'mou,82 未雨绸缪,82;
pian'hui,17 片会,17;
hu'xiping,6 胡锡萍,6;
dong'guandui,15 东莞队,15;
tou'piaozhan,83 投票站,83;
mei'hu,293 每户,293;
jie'li,218 竭力,55;接力,163;
fang'wen,2044 访问,2044;
tian'mu,36 天幕,15;天目,21;
kan'wang,611 看望,611;
fang'wei,312 方位,119;防伪,81;防卫,112;
fen'qi,827 分期,110;奋起,126;分歧,591;
mian'shuidian,63 免税店,63;
mei'ji,20 美籍,20;
fen'qu,105 分区,105;
li'shi'guan,59 历史观,59;
cunlan,92 存栏,92;
tian'mi,46 甜蜜,46;
lao'peng,36 老彭,36;
ying'xiong,1401 英雄,1401;
ji'hua'dan'lie'shi,68 计划单列市,68;
chen'ai'li,13 陈爱莉,13;
fen'wen,24 分文,24;
zhudi,24 诸迪,12;筑堤,12;
ai'er'lan,276 爱尔兰,276;
xi'rou,12 息肉,12;
xunhang,39 巡航,39;
fen'wei,2162 氛围,1441;分为,721;
zhong'bei'bu,33 中北部,33;
dian'zi'qi'jian,5 电子器件,5;
pa'qie,10 扒窃,10;
huo'luo,8 活络,8;
jing'zhi'yuan,38 靖志远,38;
huo'lun,51 货轮,51;
shen'ke'xing,25 深刻性,25;
sheng'yun,6 盛运,6;
fen'tu,12 粪土,12;
xiao'peng'you,222 小朋友,222;
jiang'pin,30 奖品,30;
meizhouwan,23 湄洲湾,23;
tian'ji,43 天机,9;天际,34;
zai'hai,1943 灾害,1943;
kui'kong,13 亏空,13;
fo'xiang,17 佛像,17;
jiao'xiang'yue'tuan,102 交响乐团,102;
zhuci,6 逐次,6;
cai'shui,521 财税,521;
xiong'mao,211 熊猫,211;
sheng'yue,61 声乐,61;
ri'wen,26 日文,26;
zhen'chadui,9 侦查队,9;
fa'ding,586 法定,586;
jiufang,45 旧房,45;
mei'lu,9 煤炉,9;
shuihai,23 水害,23;
zhao'jiren,28 召集人,28;
mei'li,1667 美丽,827;魅力,840;
ding'gou,70 订购,65;定购,5;
wang'dao'han,7 汪道涵,7;
gao'nan,28 高难,28;
jifang,19 嵇芳,14;吉方,5;
jie'na,182 接纳,182;
jindu,39 金杜,39;
mei'la,6 梅拉,6;
zhubi,9 铸币,9;
shei'jia,103 谁家,103;
jie'mu,1653 揭幕,42;节目,1611;
sui'ran,5402 虽然,5402;
chuang'xinxing,119 创新性,119;
liu'zi'ge,15 刘子歌,15;
jie'mo,13 芥末,13;
fen'se,17 粉色,17;
jiu'di'qu'cai,17 就地取材,17;
zhuba,82 筑坝,14;朱巴,68;
gongyingqi,6 龚瀛琦,6;
ao'de'sai,10 奥德赛,10;
fen'si,316 粉丝,316;
tian'feng,5 田丰,5;
nong'min'zhan'zheng,11 农民战争,11;
cheng'yun'hui,72 城运会,72;
bai'yang,39 白洋,7;白杨,32;
dan'zheng,8 单证,8;
cui'hong'xia,5 崔洪霞,5;
ta'ji'ke'si'tan,134 塔吉克斯坦,134;
qingxing,40 轻型,40;
fa'dian,888 发电,856;法典,32;
dong'mai'qu,40 冬麦区,40;
su'laiman,25 苏莱曼,25;
chang'yuan,1746 场院,10;长垣,24;长远,1712;
lou'lian,9 露脸,9;
feng'fu'xing,57 丰富性,57;
she'zu,98 畲族,13;涉足,85;
tian'he,138 天河,130;田禾,8;
wen'hua'ting,79 文化厅,79;
xing'tai,664 形态,615;邢台,49;
shu'dao,403 疏导,403;
cai'shou,25 采收,25;
bu'er'fa'men,21 不二法门,21;
ji'zhongxing,10 集中性,10;
diao'zhuo,27 雕琢,27;
tie'chui,26 铁锤,26;
tao'hao,43 讨好,43;
tie'jiang,20 铁匠,20;
guogui'ming,8 郭桂明,8;
miao'yu'lian'zhu,10 妙语连珠,10;
jie'gu,35 解雇,35;
ni'zhong'you'wo,23 你中有我,23;
cao'zong'gan,6 操纵杆,6;
tong'yibu,8 统一部,8;
you'sun'yu,9 有损于,9;
ding'duan,36 顶端,36;
pi'xue,5 皮靴,5;
tian'ma'xing'kong,20 天马行空,20;
du'jiao'shou,6 独角兽,6;
gao'chun'xian,13 高淳县,13;
jie'he,7344 界河,52;结核,21;结合,7271;
li'chengming,10 李成名,10;
fen'xi,4604 分析,4604;
jie'ji,374 阶级,222;借机,89;接济,35;截击,6;劫机,5;结集,17;
tian'fu,116 天赋,100;天府,16;
yanyang,9 岩羊,9;
wang'ben,12 忘本,12;
huo'zi'yin'shua,18 活字印刷,18;
zhang'ya'qin,181 张雅琴,181;
she'xi,5 社戏,5;
lao'fu'qin,38 老父亲,38;
fu'tian,37 福田,37;
xi'yan'shi,5 吸烟室,5;
wang'liang,13 王亮,13;
li'jiang,97 李江,14;丽江,63;漓江,20;
renqingzhuoma,8 仁青卓玛,8;
jie'ju,157 拮据,66;结局,91;
qu'nian'di,309 去年底,309;
hui'ji'xue,5 会计学,5;
duanshao'xing,6 段绍兴,6;
jiao'wang'guo'zheng,12 矫枉过正,12;
cong'lai'bu,160 从来不,160;
mo'ni'ka,9 莫妮卡,9;
xujinrong,10 许津荣,10;
xi'men'zi,71 西门子,71;
huai'hai'zhan'yi,51 淮海战役,51;
jie'ke,108 解渴,42;捷克,66;
bao'jia'wei'guo,23 保家卫国,23;
gu'hua,105 古画,6;古话,15;固化,84;
jiushi'qi,12 旧石器,12;
kuai'ji'shi,143 会计师,143;
yu'zhong,240 育种,163;鱼种,6;语种,71;
guo'jia'biao'zhun,334 国家标准,334;
yu'zhou,220 渝州,9;渔舟,10;宇宙,201;
yi'hang,403 一行,403;
nan'song,50 南宋,50;
mei'xi,6 梅西,6;
yuan'zhuo,32 圆桌,32;
dong'jinshi,8 董金狮,8;
lai'hua,271 来华,271;
zhuan'zhang,60 转账,60;
zai'sheng'chan,92 再生产,92;
gu'hui,45 骨灰,45;
feng'chui'yu'da,8 风吹雨打,8;
hu'hang,279 护航,279;
zhi'shi'mian,39 知识面,39;
ge'lanshi,28 格兰仕,28;
gu'huo,9 蛊惑,9;
lai'hui,219 来回,219;
cuo'shang,873 磋商,811;挫伤,62;
zuo'luo,146 坐落,146;
nan'xing,199 男性,199;
san'zuo'da'shan,51 三座大山,51;
zao'shou,735 遭受,735;
gong'shang,2248 工伤,1066;工商,1128;共商,54;
maxiaotiao,12 马小跳,12;
zhang'hong'yan,8 章红艳,8;
qi'ye'jia,907 企业家,907;
lv'you'ju,181 旅游局,181;
qi'ye'jie,93 企业界,93;
hao'lai'wu,177 好莱坞,177;
jiao'yu'bu,687 教育部,687;
chen'sheng,36 陈胜,6;陈晟,30;
wang'jian'min,8 王建民,8;
ji'wu'duan,16 机务段,16;
bu'liao,86 不料,67;布料,19;
huo'mai,5 活埋,5;
mei'qi,114 煤气,82;每期,32;
quan'xiang,12 劝降,12;
fen'zi,824 分子,767;份子,57;
kan'kan,753 看看,736;坎坎,17;
sulike,6 苏立科,6;
fang'kuan,377 放款,29;房款,36;放宽,312;
xiao'tian'e,13 小天鹅,13;
fen'ze,11 分则,11;
jie'di,200 接地,117;芥蒂,7;节地,41;姐弟,35;
shou'yi'zhe,179 受益者,179;
fang'kuai,15 方块,15;
can'pian,10 残片,10;
wu'bao'hu,86 五保户,86;
wei'yixing,14 唯一性,14;
qiong'xiong'ji'e,25 穷凶极恶,25;
ming'wang,22 名望,22;
hua'jun'wu,15 华君武,15;
fen'zu,118 分组,118;
tian'di,695 天敌,21;天地,555;田地,119;
yangfude,9 杨甫德,9;
jie'du,950 戒毒,400;解毒,13;借读,31;解读,506;
tian'da,12 天大,12;
min'banxiao'xue,8 民办小学,8;
fen'ye,29 分野,15;分业,14;
kao'fen,6 考分,6;
mei'ri,282 每日,282;
ban'yanzhe,19 扮演者,19;
he'qing'xian,7 鹤庆县,7;
nongzenong,13 农则农,13;
gan'shang,283 感伤,26;赶上,257;
hui'xie,41 诙谐,41;
tong'chuan'shi,13 铜川市,13;
can'bai,42 参拜,14;惨败,28;
tong'kuai,33 痛快,33;
hui'xia,22 麾下,22;
duo'zhong'duo'yang,65 多种多样,65;
can'bao,21 残暴,21;
kan'de'qi,29 看得起,29;
luo'cha,100 落差,100;
xiang'hai,33 向海,33;
jie'da,219 解答,219;
zheng'nian,6 整年,6;
zhang'baoyan,12 张宝艳,12;
che'men,54 车门,54;
que'shuiliang,8 缺水量,8;
bu'jin'ren'qing,16 不近人情,16;
guang'tu'tu,16 光秃秃,16;
sunlao,7 孙老,7;
niao'er,65 鸟儿,65;
re'lian,9 热恋,9;
hui'xin,201 会心,25;灰心,21;回信,149;慧心,6;
tian'bu,291 填补,291;
ping'tanshe,5 平潭设,5;
bi'jiang,936 必将,936;
keqin,8 克钦,8;
tuo'pin'zhi'fu,270 脱贫致富,270;
fang'fu'ji,66 防腐剂,66;
bao'hu'san,80 保护伞,80;
jue'zhao,12 绝招,12;
jue'zhan,77 决战,77;
mei'su,49 媚俗,49;
han'nanlin,13 韩楠林,13;
jiang'jie'min,5 蒋洁敏,5;
yu'shui'qingshen,12 鱼水情深,12;
qusui,5 去岁,5;
wang'guo'zhi,6 王国志,6;
zheng'zhihua,58 政治化,58;
nai'fen,272 奶粉,272;
mu'qing,25 穆青,25;
yang'shang,15 养伤,15;
jie'fu,210 姐夫,25;杰夫,185;
ding'jianji,5 顶尖级,5;
kong'fan,16 空泛,16;
li'tang,93 礼堂,93;
xiada'li,112 下大力,112;
xing'guan'xi,6 性关系,6;
mei'ti,7213 媒体,7213;
jin'shan'jin'mei,31 尽善尽美,31;
hao'bu'hui'yan,9 毫不讳言,9;
bang'bang,17 帮帮,17;
dang'tuan'yuan,28 党团员,28;
she'se,5 设色,5;
ya'lu'jiang,29 鸭绿江,29;
zhe'feng'dang'yu,26 遮风挡雨,26;
xie'guoqing,7 谢国清,7;
cao'yao,27 草药,27;
xun'qing,22 汛情,22;
qin'kuai,27 勤快,27;
mao'ze'dong'si'xiang,330 毛泽东思想,330;
fu'tianleiwo,5 福田雷沃,5;
xing'tan,24 兴叹,24;
tian'ci,8 填词,8;
jin'men,138 津门,9;金门,129;
shen'jing'xi'tong,9 神经系统,9;
jie'fa,33 揭发,24;解法,9;
xiu'gai'gao,6 修改稿,6;
feng'xin,15 奉新,15;
xin'ma'you'jiang,6 信马由缰,6;
hu'dabai,10 胡大白,10;
yi'lan'wu'yi,7 一览无遗,7;
di'ba'shiba,7 第八十八,7;
shou'gou'zhan,20 收购站,20;
jiao'yu'jia,123 教育家,123;
shi'zheng'xie,154 市政协,154;
da'kou'da'kou'de,5 大口大口地,5;
qiao'pi,9 俏皮,9;
lian'fang'dui'yuan,7 联防队员,7;
jiao'yu'jie,80 教育界,80;
yu'cheng'shi,11 禹城市,11;
ge'wu'tuan,124 歌舞团,124;
nan'xian,27 南县,27;
gong'mingdian,6 共鸣点,6;
bu'ce,17 不测,17;
yun'xia,8 云霞,8;
tong'piao,7 通票,7;
zheng'xiong,9 争雄,9;
tong'pian,37 通篇,37;
jin'huai'tan'bai,5 襟怀坦白,5;
xing'shi,13606 行事,75;姓氏,20;形势,5888;幸事,17;行使,725;刑事,1250;形式,5185;行驶,446;
zu'zhiguan'xi,27 组织关系,27;
tong'leiti'cai,9 同类题材,9;
pai'ding,5 排定,5;
bu'bu,85 步步,85;
shang'liu,7 上流,7;
shi'shang,616 时尚,555;世上,61;
liu'zou,7 溜走,7;
xing'shu,37 行书,22;行署,15;
wu'wen'bin,8 吴文斌,8;
bu'da,31 不大,31;
shu'zhan,230 舒展,56;书展,174;
ninggenfu,7 宁根福,7;
gao'jia,240 高价,221;高架,19;
hongle'feng,6 洪乐风,6;
qian'weiping,12 钱卫平,12;
bu'de,1951 不得,1951;
li'changyong,5 李昌镛,5;
xiao'suan,6 硝酸,6;
huan'bing,146 患病,146;
gao'jie,234 高洁,25;高杰,8;告诫,189;告捷,12;
zhao'pian,772 照片,772;
bai'fen'zhi'qiba'shi,6 百分之七八十,6;
nan'fang,995 南方,966;男方,18;南芳,11;
xian'tian'xia'zhi'you'er'you,26 先天下之忧而忧,26;
jun'shu,31 军属,31;
si'ming,5 死命,5;
biao'yu'pai,17 标语牌,17;
li'ke'qiang,1232 李克强,1232;
jun'shi,4712 均势,8;军士,37;军事,4667;
kua'zan,26 夸赞,26;
chuan'lian,83 串联,76;串连,7;
chou'xiangxing,8 抽象性,8;
chi'zhi'yi'bi,6 嗤之以鼻,6;
guan'xiang'tai,8 观象台,8;
fen'zhuang,22 分装,22;
mu'zhong'wu'ren,11 目中无人,11;
chi'ya'ba'kui,5 吃哑巴亏,5;
su'ming,32 宿命,25;苏明,7;
xing'long,58 兴隆,58;
muqing'hua,7 木清华,7;
ke'jia'ren,25 客家人,25;
ke'peng,6 磕碰,6;
zhuguan,47 主官,47;
jingchuan,6 井川,6;
tong'gang,7 童刚,7;
si'huan,49 四环,29;死缓,20;
ding'gai,5 顶盖,5;
dan'ren'hua,17 单人滑,17;
shu'zhai,22 书斋,22;
